Draw;g;r;pb;z
1430;-2.5;2.8;-0.6;0.4
1431;-2.0;2.6;0.0;-3.3
1432;0.8;2.9;0.6;-1.4
1433;2.8;2.0;1.0;-23.6
1434;1.3;2.3;1.4;2.0
1435;3.3;2.7;2.4;-10.9
1436;-0.2;2.7;0.5;-4.5
1437;-2.3;2.7;1.7;-10.5
1438;1.9;2.8;2.3;-9.0
1439;-0.1;2.7;-0.3;2.9
1440;-1.4;2.4;-0.9;-3.9
1441;0.5;2.5;1.3;4.0
1442;-4.2;2.1;0.1;-3.9
1443;0.4;2.6;2.1;-9.7
1444;-3.0;2.5;1.3;6.1
1445;0.5;2.8;1.8;0.5
1446;-0.6;2.2;-0.2;-11.3
1447;2.3;3.0;-1.7;0.2
1448;0.6;2.4;0.8;-2.7
1449;-0.4;1.8;1.0;-10.9
1450;0.0;2.7;2.9;-4.5
1451;-0.7;2.6;3.0;-2.7
1452;-5.2;2.0;2.5;-11.6
1453;-1.6;2.1;1.7;-4.8
1454;2.1;3.1;1.2;5.7
1455;-3.3;2.6;0.9;-3.1
1456;2.7;2.9;-0.9;3.8
1457;-2.0;2.2;-0.2;-6.1
1458;4.7;2.4;3.0;-4.4
1459;-1.6;1.9;1.3;-12.6
1460;-1.1;2.6;2.4;-12.2
1461;1.1;2.8;1.2;5.8
1462;-2.5;2.4;2.4;6.3
1463;-1.8;2.5;0.3;-0.4
1464;1.6;3.0;1.0;-4.6
1465;-0.6;2.2;1.1;-2.9
1466;2.5;2.3;3.5;-15.6
1467;-4.1;1.7;0.8;-20.9
1468;0.4;2.6;-0.1;0.8
1469;-0.2;1.6;0.8;-3.9
1470;-1.2;2.8;2.0;6.9
1471;1.9;3.5;-0.5;0.0
1472;-3.2;2.4;-1.2;-0.8
1473;1.6;3.2;0.4;4.3
1474;-0.6;2.2;1.6;1.3
1475;-2.0;2.1;1.7;0.1
1476;5.2;2.2;2.5;-13.5
1477;1.3;2.9;2.9;8.1
1478;-1.6;2.5;1.9;-13.1
1479;0.0;2.5;1.3;-11.2
1480;-1.6;1.8;2.3;-14.4
1481;-0.9;2.5;2.9;-9.4
1482;1.7;2.5;3.4;-8.3
1483;3.8;2.0;3.6;-23.1
1484;3.8;3.3;0.7;8.3
1485;0.8;2.4;2.0;-4.6
1486;5.4;2.7;3.8;-7.6
1487;-2.4;2.6;1.6;-5.0
1488;-3.0;2.4;2.4;3.2
1489;-0.9;2.4;1.3;-9.8
1490;-0.9;1.8;2.1;-12.6
1491;-3.8;1.6;1.5;-7.1
1492;-4.9;1.3;1.7;-18.9
1493;1.4;2.7;1.1;2.3
1494;-1.5;2.4;0.8;11.4
1495;3.2;2.5;0.9;-5.2
1496;-1.3;2.3;1.3;-11.7
1497;-3.2;1.6;1.9;-9.1
1498;3.6;3.7;0.5;4.3
1499;1.4;2.7;2.2;-5.7
1500;2.0;2.9;3.2;2.3
1501;-3.9;2.4;0.0;5.1
1502;0.7;2.6;0.1;10.9
1503;1.4;3.2;0.3;11.0
1504;1.2;2.6;1.4;8.1
1505;3.9;2.4;1.2;-7.1
1506;-0.5;2.5;2.8;-1.3
1507;0.1;3.1;0.2;4.0
1508;-0.6;2.1;1.0;-9.7
1509;0.5;3.1;2.9;-4.2
1510;1.0;2.3;2.5;-16.7
1511;1.5;2.9;-0.3;1.1
1512;3.7;2.2;-0.7;-3.7
1513;-2.4;2.9;-0.6;-4.2
1514;1.8;2.5;2.6;-5.1
1515;3.3;2.2;2.2;-14.0
1516;0.6;2.4;2.2;-8.7
1517;0.9;2.2;3.4;3.0
1518;0.7;2.7;1.9;-6.5
1519;0.0;3.0;1.8;12.6
1520;1.6;2.9;2.2;-0.1
1521;1.1;2.4;1.9;6.9
1522;0.6;2.4;0.9;-11.5
1523;1.9;2.8;2.0;-3.9
1524;-0.8;3.3;1.4;21.2
1525;-1.9;2.8;0.4;5.6
1526;0.0;2.6;2.2;0.2
1527;-2.0;2.0;2.3;-6.1
1528;0.5;2.8;1.0;8.6
1529;3.2;2.5;0.7;-3.7
1530;2.6;3.1;-0.2;4.1
1531;-1.1;3.0;2.5;3.8
1532;0.7;2.3;1.2;-12.3
1533;0.0;3.1;-0.5;9.8
1534;-0.6;2.2;0.3;-1.1
1535;-2.9;2.6;0.5;-0.2
1536;-0.1;3.2;0.7;6.2
1537;2.4;2.7;0.6;-3.8
1538;-0.1;2.0;1.6;-11.9
1539;-3.4;1.8;1.5;-20.8
1540;-0.8;2.7;0.9;6.2
1541;3.2;2.2;-0.5;-10.4
1542;-2.9;2.3;0.3;2.7
1543;1.7;2.5;0.1;-5.7
1544;1.6;3.2;2.0;16.9
1545;0.9;2.6;-0.6;-0.7
1546;1.3;2.3;2.7;-16.3
1547;1.6;2.7;2.4;-3.8
1548;2.9;2.2;1.3;-16.9
1549;0.1;2.5;0.9;-8.0
1550;-0.5;2.7;2.1;1.2
1551;3.4;2.9;2.4;-1.7
1552;0.9;2.8;2.7;-8.0
1553;1.6;2.2;1.0;-4.6
1554;1.9;2.6;2.1;0.2
1555;3.1;2.1;2.8;-21.8
1556;2.5;3.1;0.9;1.5
1557;-1.0;3.2;3.1;5.9
1558;1.6;1.9;2.1;-11.4
1559;-2.2;2.8;0.3;5.6
1560;-0.8;3.1;0.7;5.8
1561;-1.4;2.3;1.9;-10.3
1562;0.0;2.6;0.2;4.4
1563;-0.3;2.1;1.3;-20.8
1564;-1.2;3.5;1.4;4.9
1565;1.2;1.6;3.4;-30.2
1566;-1.2;2.9;0.2;-4.8
1567;-3.2;2.2;2.4;-3.3
1568;-2.9;2.0;0.7;-11.1
1569;-1.6;2.2;0.8;-6.4
1570;-0.6;2.7;3.3;5.6
1571;2.9;3.2;0.0;12.6
1572;2.8;3.1;-0.9;11.4
1573;2.0;1.9;3.4;-17.9
1574;-4.3;2.3;1.9;-2.9
1575;-1.5;2.3;2.2;-2.7
1576;1.7;2.6;2.5;-3.2
1577;3.5;2.6;1.5;-0.7
1578;4.0;2.7;2.5;-12.5
1579;-1.1;2.5;1.9;-10.6
1580;2.4;2.6;2.4;-8.1
1581;2.4;2.6;1.0;-3.8
1582;-0.8;2.6;2.5;-1.4
1583;-3.4;2.3;0.1;8.8
1584;-1.5;1.4;1.2;-24.4
1585;4.4;2.7;-0.2;-3.5
1586;-4.5;1.9;0.7;-5.0
1587;0.4;3.4;1.4;5.6
1588;1.3;1.9;3.5;1.9
1589;-4.4;2.7;-0.7;-8.1
1590;-3.5;2.5;1.2;-4.0
1591;1.2;3.5;-0.7;11.9
1592;2.2;2.4;1.4;-8.5
1593;3.0;2.8;1.3;-1.3
1594;-0.6;3.1;-0.8;-6.6
1595;-1.4;2.7;1.0;-11.7
1596;4.2;3.4;2.3;24.3
1597;0.3;2.2;1.8;-10.2
1598;2.9;2.7;4.4;0.6
1599;1.3;2.2;0.5;-0.3
1600;2.9;2.8;2.0;11.4
1601;0.5;3.4;0.3;26.6
1602;0.2;3.0;1.7;-2.3
1603;-1.3;2.1;1.6;-4.0
1604;1.4;2.3;1.8;-19.1
1605;3.2;2.7;3.7;10.2
1606;-0.7;2.8;1.9;-0.3
1607;2.0;3.5;1.1;17.9
1608;0.4;2.4;-0.1;-15.1
1609;-1.3;2.2;2.2;-9.3
1610;-1.0;2.1;1.4;-9.4
1611;-1.6;2.7;1.2;-8.2
1612;-1.5;3.1;0.0;13.6
1613;-2.7;1.4;1.1;-19.7
1614;-1.6;2.1;0.6;-9.8
1615;-0.5;2.4;1.6;-1.2
1616;-2.6;2.6;1.6;9.1
1617;0.4;2.1;2.0;-15.6
1618;1.8;2.0;2.3;-4.7
1619;0.9;1.9;1.8;-9.4
1620;-0.1;2.6;1.5;-2.1
1621;1.6;2.3;2.0;-27.1
1622;-2.3;1.4;-0.1;-22.4
1623;2.2;3.3;0.1;13.8
1624;-0.8;2.0;1.5;-14.1
1625;-1.0;2.2;1.2;-6.7
1626;-1.0;2.0;0.3;1.3
1627;-0.5;1.9;3.1;-16.8
1628;-3.4;2.1;-1.1;-7.1
1629;1.3;2.9;1.2;10.0
1630;0.6;2.6;1.9;-4.3
1631;-0.2;3.0;1.5;-10.1
1632;0.1;2.5;-0.4;-6.9
1633;-0.3;2.1;2.8;-15.4
1634;1.8;3.3;1.6;5.9
1635;1.3;2.8;4.2;-9.5
1636;-0.7;2.8;0.6;5.1
1637;2.7;3.3;-0.1;5.9
1638;-2.2;2.1;1.8;7.7
1639;2.1;3.0;0.4;0.7
1640;-0.1;2.2;0.6;-6.8
1641;2.2;2.1;2.1;-10.4
1642;-0.5;3.0;0.6;-4.8
1643;2.8;2.6;2.1;-2.2
1644;2.2;2.9;0.8;12.2
1645;0.8;2.8;1.5;1.9
1646;1.5;2.3;0.4;1.9
1647;-1.6;2.6;0.2;3.3
1648;2.3;2.3;1.2;-17.6
1649;0.3;2.5;0.9;-9.4
1650;-1.7;1.7;0.3;-17.8
1651;0.1;3.0;0.0;6.6
1652;-0.1;2.9;1.9;10.4
1653;-1.7;2.5;3.0;-12.6
1654;0.7;2.4;3.2;-3.4
1655;-2.3;2.2;1.1;-8.6
1656;1.6;3.3;2.5;20.0
1657;-1.6;2.0;2.3;-12.3
1658;3.3;1.9;2.3;-28.5
1659;-3.6;2.6;1.6;-1.0
1660;-2.4;2.9;0.3;1.1
1661;-1.8;2.3;2.8;-7.5
1662;-1.5;2.9;1.3;12.1
1663;-0.5;2.3;1.2;4.1
1664;2.9;3.4;1.7;19.8
1665;0.7;2.9;-0.1;12.2
1666;1.0;2.3;1.8;-4.0
1667;-0.3;2.5;0.8;1.8
1668;-1.2;3.1;1.4;-2.4
1669;0.9;3.0;0.0;6.5
1670;-0.5;1.7;0.1;-7.4
1671;0.3;3.0;-0.8;-2.5
1672;2.7;2.8;2.4;-4.1
1673;-0.4;2.6;-0.3;1.5
1674;-0.5;3.0;0.7;10.5
1675;-1.8;2.4;0.4;-6.6
1676;2.3;2.6;1.7;3.3
1677;-4.1;2.3;1.9;8.8
1678;1.4;2.0;2.1;-18.1
1679;3.7;2.9;2.0;0.1
1680;-1.2;2.8;0.3;11.1
1681;-1.9;2.6;-0.4;1.9
1682;-1.5;2.2;2.2;-10.7
1683;1.2;3.2;1.0;13.8
1684;0.5;2.1;2.1;-18.3
1685;-0.9;2.5;0.7;-6.4
1686;0.0;2.5;0.6;1.2
1687;-1.7;1.9;2.9;-10.6
1688;-1.4;2.1;2.4;-6.5
1689;0.4;2.5;1.5;-12.5
1690;1.4;3.0;1.1;8.7
1691;3.0;4.0;-0.1;16.2
1692;-1.5;2.4;-0.2;-3.1
1693;-0.8;2.3;1.8;-2.1
1694;4.9;2.8;1.3;-0.6
1695;0.2;3.1;3.2;8.9
1696;-0.2;2.3;2.0;-8.6
1697;2.2;3.2;3.5;13.9
1698;0.8;2.2;1.8;-17.0
1699;-1.5;1.7;1.5;-17.7
1700;-3.4;2.3;0.8;-5.6
1701;-5.0;2.4;-3.0;0.0
1702;-1.7;2.2;-0.2;-8.1
1703;-0.2;2.8;0.6;2.1
1704;-0.4;1.4;2.6;-26.9
1705;2.7;3.3;0.3;5.5
1706;1.2;2.6;1.4;2.8
1707;-0.2;2.7;0.9;3.5
1708;0.9;2.2;1.1;-8.8
1709;1.0;2.6;0.3;-7.1
1710;5.5;3.2;1.2;1.9
1711;1.1;2.6;0.5;-1.5
1712;4.3;2.8;1.5;0.0
1713;2.3;2.6;0.2;1.6
1714;1.9;3.6;0.2;9.0
1715;4.0;3.2;1.9;7.6
1716;-0.5;2.2;1.1;-18.5
1717;0.8;2.7;-0.1;-0.3
1718;2.3;2.1;1.7;-24.0
1719;-1.7;1.4;2.0;-38.3
1720;-1.9;2.0;0.6;-16.6
1721;-2.6;3.2;-0.3;9.7
1722;-0.7;2.2;3.1;-6.5
1723;-1.2;2.6;0.9;-0.9
1724;-2.2;2.6;1.8;-2.8
1725;-1.0;2.7;-0.5;1.3
1726;2.7;3.0;-0.1;8.7
1727;3.3;3.0;1.8;6.7
1728;1.9;2.7;2.1;-9.4
1729;2.7;2.3;2.5;-11.9
1730;-0.8;2.0;2.5;-15.7
1731;1.5;3.1;0.8;-3.3
1732;2.3;2.3;1.6;-10.2
1733;2.9;2.6;2.3;-3.3
1734;-5.2;1.8;0.2;-16.0
1735;-0.5;2.7;1.4;-1.7
1736;-0.8;2.9;2.2;-1.9
1737;2.0;2.9;0.0;-1.0
1738;4.2;2.5;0.5;-14.4
1739;2.4;2.3;2.9;-12.0
1740;1.2;2.0;2.5;-20.7
1741;-0.7;1.3;2.8;-28.2
1742;0.5;3.1;2.4;5.9
1743;0.4;2.1;1.0;-23.0
1744;-0.8;2.4;1.7;-5.1
1745;2.1;2.2;2.5;-14.2
1746;-4.8;2.2;1.5;1.6
1747;-3.1;2.7;0.7;12.3
1748;-2.5;2.1;1.5;-5.3
1749;2.0;2.8;1.9;2.6
1750;2.9;2.4;2.2;1.9
1751;3.1;3.0;2.6;-8.6
1752;0.7;3.1;1.0;2.2
1753;-2.9;2.4;1.3;6.1
1754;-0.6;1.4;0.8;-26.7
1755;2.2;2.6;1.1;-3.0
1756;0.5;2.8;1.6;5.6
1757;1.1;2.2;0.2;-18.8
1758;0.1;2.2;2.0;-9.2
1759;-0.2;2.2;1.3;-7.9
1760;-0.3;2.2;3.2;-1.0
1761;-1.4;2.2;-0.2;-8.2
1762;-0.9;2.9;-0.4;19.5
1763;0.0;2.7;2.8;8.9
1764;-4.1;2.2;2.2;-9.9
1765;-3.7;1.9;1.7;-10.4
1766;1.8;2.6;-0.2;0.9
1767;-1.3;2.7;-0.1;6.3
1768;-3.9;2.3;1.3;-7.5
1769;2.9;2.3;4.8;-12.8
1770;2.0;2.6;0.6;-7.8
1771;-0.7;2.4;0.5;3.4
1772;1.9;3.3;0.5;13.5
1773;-3.6;3.2;0.9;1.3
1774;2.8;3.3;-1.5;17.0
1775;-0.6;2.7;2.6;-6.0
1776;0.4;2.8;0.1;3.1
1777;-1.1;2.6;1.0;1.1
1778;3.7;3.3;-0.8;19.7
1779;0.2;1.3;2.5;-22.8
1780;-3.0;3.2;0.8;6.4
1781;-0.6;2.4;0.3;2.3
1782;0.1;2.7;0.2;2.2
1783;-2.2;2.3;-0.9;2.3
1784;-1.2;2.3;2.7;-2.3
1785;0.8;2.9;0.6;-1.8
1786;-0.6;1.8;2.0;-2.3
1787;-2.2;2.8;-1.0;13.3
1788;-0.7;1.6;-0.6;-17.0
1789;-3.2;2.1;0.5;-2.8
1790;-0.6;2.5;1.3;-12.2
1791;-2.2;2.6;0.7;0.6
1792;1.2;2.6;3.5;0.3
1793;-3.4;2.6;1.4;0.8
1794;-0.7;2.7;1.7;1.6
1795;0.5;2.5;3.0;-8.2
1796;-0.8;2.2;1.7;-12.3
1797;1.6;2.8;0.6;6.7
1798;2.4;2.5;0.7;5.4
1799;-1.6;2.2;0.3;-8.3
1800;-1.2;2.8;2.1;0.4
1801;-0.7;3.1;2.9;-0.3
1802;1.1;2.9;-0.6;8.5
1803;-5.1;2.2;2.0;-0.2
1804;0.2;2.1;2.5;-11.1
1805;-0.6;3.1;0.5;-1.1
1806;-2.2;2.4;0.4;2.2
1807;0.9;3.5;-1.2;20.7
1808;-0.3;2.9;1.1;5.3
1809;-1.4;1.6;1.5;-20.9
1810;1.0;2.5;1.1;-7.2
1811;-0.5;2.4;2.6;8.5
1812;-1.9;2.9;0.7;15.1
1813;0.0;2.7;2.0;-7.7
1814;-0.8;2.6;-0.2;1.7
1815;0.1;3.1;1.3;9.9
1816;2.1;2.8;1.2;5.0
1817;-0.3;2.3;0.4;-7.8
1818;1.4;2.9;3.0;-3.5
1819;0.2;2.7;0.1;-3.1
1820;-1.4;3.0;1.0;-1.0
1821;0.5;2.2;-0.8;-5.0
1822;-1.1;2.4;2.1;-7.2
1823;0.3;2.8;2.6;3.0
1824;3.3;3.1;0.5;-3.2
1825;1.9;2.7;0.0;4.8
1826;-1.0;2.4;-0.5;-14.8
1827;3.1;2.8;2.4;-1.3
1828;-1.5;2.3;1.1;-1.0
1829;-1.0;2.1;1.2;3.7
1830;1.7;3.6;1.1;23.7
1831;-1.3;2.4;1.2;-19.9
1832;0.6;3.1;1.4;14.6
1833;0.5;3.0;1.3;-3.9
1834;-3.6;2.6;-0.2;4.9
1835;-0.8;2.5;2.4;3.1
1836;1.5;2.0;3.0;-7.1
1837;0.6;2.6;2.9;-5.2
1838;0.8;3.0;2.9;4.0
1839;-2.6;2.4;0.8;-0.1
1840;-2.7;2.9;-0.7;8.6
1841;2.2;3.1;0.3;6.0
1842;-4.9;1.6;4.0;-13.0
1843;3.8;3.8;0.6;20.4
1844;-2.9;2.3;0.3;-1.0
1845;-0.4;2.9;2.1;6.6
1846;-1.8;2.5;1.0;-3.0
1847;-0.8;1.9;1.8;-3.8
1848;0.6;2.3;3.0;-5.6
1849;-3.8;2.5;2.1;2.0
1850;0.8;2.4;1.5;-17.2
1851;-0.9;2.7;2.0;4.2
1852;0.3;2.3;3.9;-14.8
1853;1.8;3.0;1.7;5.2
1854;-3.5;1.9;-1.1;0.3
1855;2.5;3.2;1.1;2.1
1856;1.9;2.7;2.8;-8.8
1857;-0.1;2.0;2.5;-15.0
1858;-3.0;2.3;-0.3;-4.2
1859;-2.2;3.0;1.7;-7.7
1860;3.3;2.5;1.7;-6.2
1861;-3.3;1.8;0.2;-15.3
1862;-1.7;1.8;2.3;-8.7
1863;1.8;2.8;-1.1;9.9
1864;-2.1;3.0;1.6;15.1
1865;-1.5;2.1;0.9;-17.0
1866;-3.7;1.8;1.8;-15.4
1867;0.0;2.7;0.4;0.1
1868;-0.6;2.3;0.3;-11.0
1869;-2.2;2.6;1.7;1.3
1870;1.6;2.6;1.9;-4.6
1871;-1.4;2.3;-0.3;-0.3
1872;-0.3;2.1;1.1;-4.5
1873;1.8;2.7;3.0;-4.1
1874;0.5;2.8;0.7;-4.2
1875;1.3;3.0;2.2;-3.5
1876;0.7;2.7;1.9;5.2
1877;0.9;2.0;1.8;-16.7
1878;0.7;2.5;3.1;-7.7
1879;0.3;1.9;0.9;-14.4
1880;0.8;2.8;0.7;-6.7
1881;-2.7;2.0;3.6;-11.7
1882;-0.7;3.5;0.0;14.9
1883;1.4;2.4;1.8;-11.4
1884;-0.1;3.2;0.7;7.2
1885;-3.1;2.3;0.3;-0.6
1886;-4.5;2.2;-1.1;1.0
1887;-4.7;2.6;0.5;16.9
1888;0.4;2.7;0.8;4.3
1889;4.5;2.2;1.7;-12.5
1890;-1.8;2.7;0.8;-7.5
1891;-1.8;2.6;0.9;-5.1
1892;-2.7;2.6;-0.2;4.5
1893;-4.4;2.2;0.0;-9.8
1894;-2.6;2.1;-1.5;-6.4
1895;-3.6;2.1;1.8;-15.4
1896;-2.2;2.7;0.3;7.2
1897;1.5;1.9;2.5;-21.3
1898;-3.5;2.7;0.9;6.4
1899;-2.5;1.9;0.6;-10.2
1900;1.7;2.6;0.9;-6.0
1901;-0.2;2.3;1.1;-13.4
1902;-0.4;2.9;-1.4;7.9
1903;0.1;1.6;0.4;-19.0
1904;-1.0;3.2;1.3;3.1
1905;-1.9;2.8;0.0;0.9
1906;-3.1;1.9;0.9;-22.9
1907;-1.2;3.1;1.6;18.8
1908;4.4;2.7;0.4;-4.0
1909;-0.6;2.4;2.1;-7.2
1910;-0.2;2.6;1.2;-6.7
1911;-0.7;2.8;2.5;10.2
1912;2.9;2.9;1.0;11.0
1913;-0.7;2.5;-0.8;-2.4
1914;-3.4;2.6;1.1;-10.9
1915;0.1;2.5;2.0;-17.7
1916;-1.3;2.6;1.0;0.6
1917;2.4;2.7;3.2;-3.0
1918;-3.9;3.0;0.5;-5.1
1919;-0.8;2.3;-1.0;-7.6
1920;4.1;2.4;1.6;-16.9
1921;-0.3;2.0;2.9;-6.7
1922;1.2;3.0;0.2;6.2
1923;3.6;2.5;2.4;1.3
1924;1.2;2.9;1.6;-3.6
1925;1.0;2.9;0.2;14.3
1926;-1.9;2.8;0.9;8.6
1927;0.7;2.6;1.0;-14.7
1928;0.9;2.1;1.4;-8.0
1929;1.9;2.6;1.9;-1.1
1930;0.3;2.4;0.7;-3.4
1931;-1.8;1.9;0.7;-4.7
1932;3.3;2.7;1.3;1.4
1933;-2.5;2.2;0.7;-15.4
1934;1.7;3.1;1.7;13.1
1935;-1.9;2.3;0.7;11.2
1936;0.4;2.6;2.0;9.9
1937;0.3;2.2;1.9;-5.3
1938;-0.3;2.6;2.4;5.2
1939;2.5;3.3;1.7;11.5
1940;1.6;2.6;0.4;-4.1
1941;-1.0;2.7;-1.4;3.7
1942;0.7;2.5;0.8;-15.5
1943;-2.4;1.8;0.7;-5.4
1944;-0.9;2.8;0.3;10.8
1945;-0.7;2.7;0.6;-13.6
1946;1.9;2.1;2.0;-14.9
1947;3.1;2.8;2.1;-4.6
1948;0.9;2.6;-0.3;7.2
1949;2.6;3.1;-0.7;6.0
1950;-1.2;2.0;3.4;-12.4
1951;2.7;2.9;1.4;-2.7
1952;0.5;3.1;0.7;9.8
1953;-0.9;3.1;0.5;10.4
1954;2.0;2.5;1.9;-11.4
1955;-1.0;2.0;2.0;-12.4
1956;-1.8;2.9;0.1;-1.0
1957;1.9;2.2;1.1;-6.8
1958;-0.2;2.1;0.5;-2.1
1959;2.8;3.1;0.2;2.7
1960;-1.2;2.3;-0.7;-6.3
1961;2.1;2.7;-1.3;11.4
1962;0.8;2.2;2.1;-17.4
1963;-3.0;2.8;1.7;5.0
1964;0.4;2.4;0.4;-5.8
1965;-1.1;2.8;-0.4;8.7
1966;-1.0;1.7;0.5;-17.4
1967;0.1;2.9;0.0;5.1
1968;-0.3;2.4;-1.5;0.7
1969;3.0;2.8;1.0;7.4
1970;2.2;2.8;1.5;-4.0
1971;0.9;2.6;0.9;-2.2
1972;0.2;1.9;3.6;-20.4
1973;-2.5;2.4;0.9;-2.7
1974;3.4;2.1;2.6;-16.3
1975;-3.1;2.9;0.5;12.3
1976;0.8;2.5;1.1;-2.6
1977;0.3;3.5;-0.6;24.3
1978;-1.2;2.0;2.2;-14.8
1979;0.4;3.3;0.1;7.0
1980;2.7;2.6;1.1;-0.9
1981;0.3;2.4;2.5;-9.7
1982;-4.2;2.3;0.2;10.0
1983;1.4;3.3;0.1;13.1
1984;-2.0;1.8;0.6;-8.9
1985;-2.7;2.3;-1.0;-4.2
1986;0.6;3.2;-0.8;11.6
1987;0.0;2.6;1.5;-10.7
1988;1.8;2.6;-0.5;3.0
1989;-0.9;2.8;0.1;0.1
1990;1.8;2.2;3.3;-8.3
1991;-0.2;2.5;1.1;6.1
1992;2.2;2.5;2.7;-17.9
1993;0.4;2.7;2.7;1.1
1994;-5.8;2.6;0.1;-3.8
1995;1.8;2.7;-0.6;-4.2
1996;-0.5;1.9;1.8;-15.8
1997;2.4;3.0;-0.3;-5.5
1998;2.4;3.1;0.5;4.9
1999;-2.6;2.7;0.7;9.0
2000;0.8;2.2;1.2;3.4
2001;-2.0;2.5;0.9;0.8
2002;0.9;3.1;3.0;14.3
2003;-5.0;2.5;0.1;7.5
2004;1.4;3.4;-0.4;7.1
2005;2.0;1.5;1.2;-28.8
2006;-0.8;2.8;1.7;11.1
2007;1.6;2.1;1.1;-13.0
2008;-1.2;2.3;2.2;-6.3
2009;1.1;3.1;0.2;10.3
2010;-0.3;2.5;-0.1;-6.3
2011;-3.9;2.8;1.1;16.3
2012;-1.2;3.0;1.9;13.2
2013;-2.5;2.2;0.1;-8.4
2014;1.3;2.7;1.9;-1.9
2015;0.7;3.0;-0.5;4.6
2016;-4.2;3.0;1.6;4.5
2017;0.6;2.9;0.6;-2.7
2018;-1.1;2.4;-1.0;-6.0
2019;-0.3;2.0;3.4;-19.0
2020;-0.7;2.7;1.0;-9.3
2021;2.1;2.6;-0.7;-2.7
2022;0.4;2.6;0.8;-4.7
2023;2.3;3.0;0.5;-1.4
2024;-1.9;2.5;0.9;0.3
2025;0.2;2.0;0.0;-14.3
2026;-2.8;2.7;0.6;6.5
2027;-1.1;2.4;0.8;-3.2
2028;0.0;2.2;0.9;-10.1
2029;0.0;2.7;-0.2;5.7
2030;-0.3;2.8;-0.6;10.3
2031;1.7;2.6;1.0;-1.3
2032;-1.7;2.4;0.8;-1.6
2033;1.3;2.9;0.8;-6.3
2034;0.5;2.9;-0.4;11.8
2035;0.3;2.7;-1.4;-6.0
2036;-2.7;2.4;1.0;5.9
2037;-0.6;2.0;0.3;-12.3
2038;-3.2;2.5;0.9;1.8
2039;-1.0;2.6;0.6;-7.1
2040;-4.0;2.3;0.7;-10.8
2041;2.4;2.6;2.7;-6.0
2042;-0.9;2.2;-0.2;-7.7
2043;5.1;2.8;0.9;-5.4
2044;-0.3;2.7;-0.2;1.7
2045;1.3;3.1;1.6;10.3
2046;-0.4;2.9;0.3;-7.9
2047;0.2;2.4;1.0;-7.3
2048;3.6;3.4;0.1;9.5
2049;-2.6;2.5;0.6;6.3
2050;-3.4;2.3;1.7;4.6
2051;2.7;2.9;0.6;-3.2
2052;2.1;3.3;2.9;-2.4
2053;-0.9;1.7;1.6;-7.9
2054;1.3;2.1;2.5;-9.7
2055;0.5;2.6;3.0;-1.6
2056;-3.1;2.7;-0.3;0.8
2057;-0.1;3.0;0.7;6.3
2058;-0.3;2.5;0.4;-6.2
2059;2.0;2.6;-0.2;3.9
2060;1.6;3.2;2.0;6.4
2061;-1.5;2.5;-0.4;6.1
2062;-0.7;2.5;0.1;11.8
2063;-0.1;3.6;-0.8;8.2
2064;-0.6;2.7;1.5;5.7
2065;0.7;2.3;0.9;-5.1
2066;0.3;2.9;-0.5;15.9
2067;0.9;2.4;1.2;3.8
2068;1.7;2.5;0.9;-15.1
2069;-0.6;2.4;2.5;-19.3
2070;3.3;3.4;1.7;9.5
2071;2.1;3.0;-0.8;2.2
2072;0.8;2.6;1.7;-0.2
2073;5.1;2.8;3.1;4.3
2074;-1.9;1.9;0.4;-9.6
2075;-5.2;2.4;-0.6;0.1
2076;3.9;2.9;-0.2;0.3
2077;0.0;2.5;1.7;-5.0
2078;-1.0;2.3;1.8;-1.6
2079;0.8;2.4;1.5;-0.4
2080;-0.2;3.0;1.9;13.3
2081;3.1;2.7;2.4;-13.8
2082;2.7;3.0;1.2;1.5
2083;-0.3;2.1;2.5;-26.9
2084;1.0;2.7;1.9;-6.5
2085;1.0;3.2;1.0;9.7
2086;0.3;2.9;1.7;-3.5
2087;2.8;2.2;3.9;0.8
2088;-0.5;3.1;2.6;6.8
2089;-0.7;2.4;1.3;-9.5
2090;0.2;1.9;2.0;-11.3
2091;-0.6;2.6;0.4;3.4
2092;-1.3;2.3;-0.2;-9.5
2093;-1.5;2.6;-0.5;-2.5
2094;-1.9;1.5;0.2;-27.1
2095;4.7;3.7;2.0;13.2
2096;-1.6;2.6;-0.1;7.7
2097;-1.1;2.3;2.2;-5.9
2098;-3.0;2.3;1.8;0.0
2099;-1.4;2.8;-1.5;3.0
2100;-2.1;2.4;1.5;-0.6
2101;-2.7;2.2;0.9;-8.5
2102;-0.9;2.4;-1.2;-1.1
2103;1.3;1.8;1.3;-16.0
2104;-2.7;2.4;0.7;-7.6
2105;-1.1;2.4;-1.4;2.3
2106;-3.5;2.5;0.5;-1.6
2107;0.0;2.3;2.8;-14.9
2108;2.6;2.9;1.5;1.1
2109;1.5;2.5;1.1;3.6
2110;3.5;2.9;1.8;-11.9
2111;-3.7;2.7;0.6;4.5
2112;0.5;2.1;1.1;-9.5
2113;-3.7;2.5;-0.7;-4.3
2114;1.0;2.9;1.4;0.3
2115;3.7;2.8;0.5;1.3
2116;-1.3;2.7;-0.9;-3.5
2117;-1.3;2.4;1.1;-7.0
2118;1.5;2.7;1.9;0.2
2119;-2.4;2.3;-0.1;-9.0
2120;-5.8;2.0;-1.0;-15.9
